	0	1	genome_id
0	-32.113228	19.351767	Genome43.0
1	13.058774	-35.728237	Genome33.0
2	19.668541	-12.121429	Genome39.0
3	36.013256	29.851713	Genome28.0
4	64.234726	13.582535	Genome23.0
5	61.430855	7.255834	Genome23.0
6	32.55817	-10.194376	Genome23.0
7	54.36672	10.408504	Genome23.0
8	67.38763	19.713102	Genome30.0
9	-55.378716	-0.736244	Genome39.0
10	11.897522	-22.638416	Genome23.0
11	-31.948277	-28.15114	Genome43.0
12	31.09512	24.600403	Genome33.0
13	0.42022145	6.071089	Genome30.0
14	15.118895	-12.632458	Genome43.0
15	19.865704	-26.656054	Genome30.0
16	-9.230955	-6.253499	Genome28.0
17	-10.436214	-3.4731462	Genome30.0
18	50.629692	-0.9609287	Genome23.0
19	-38.26993	-18.13887	Genome30.0
20	58.29253	21.98807	Genome30.0
21	19.323566	5.596698	Genome43.0
22	-2.5954	-36.830006	Genome23.0
23	12.798708	5.2791624	Genome43.0
24	60.693344	17.37986	Genome43.0
25	61.703655	13.892264	Genome33.0
26	26.196295	-0.91528255	Genome30.0
27	-20.23938	5.151701	Genome30.0
28	-47.243214	-9.9670515	Genome43.0
29	69.4665	0.3164983	Genome23.0
30	-36.40735	-32.373074	Genome28.0
31	-53.974445	-16.3235	Genome43.0
32	-49.547894	-31.042496	Genome30.0
33	-29.83339	-27.03448	Genome30.0
34	-19.835701	15.9719925	Genome30.0
35	-22.959269	-3.0212288	Genome43.0
36	-43.781593	1.2276392	Genome43.0
37	8.101502	20.304699	Genome23.0
38	-36.924793	18.228342	Genome43.0
39	-9.515176	-22.485367	Genome43.0
40	-8.842865	17.945581	Genome43.0
41	44.965984	-14.322288	Genome23.0
42	41.38714	18.592443	Genome43.0
43	-5.43332	-31.458689	Genome43.0
44	-3.753075	-29.548075	Genome23.0
45	70.73212	20.992914	Genome30.0
46	79.800606	13.561989	Genome43.0
47	-61.487904	-0.34086865	Genome30.0
48	16.015774	-1.0324706	Genome30.0
49	-49.565605	-15.336667	Genome33.0
50	37.451305	5.3454204	Genome43.0
51	-31.170584	35.41864	Genome23.0
52	-17.943764	-19.594372	Genome23.0
53	29.869692	-16.482088	Genome43.0
54	26.831606	3.1488338	Genome23.0
55	22.741741	-10.977206	Genome23.0
56	24.648132	37.76736	Genome30.0
57	38.196903	13.751403	Genome23.0
58	-35.74775	-32.94058	Genome23.0
59	10.415432	-0.5578302	Genome30.0
60	-14.9811535	10.268128	Genome23.0
61	41.545506	-8.376079	Genome23.0
62	-44.588985	8.127075	Genome23.0
63	3.3744922	-37.6968	Genome28.0
64	-30.274817	1.2486341	Genome43.0
65	35.840992	-33.271446	Genome30.0
66	39.408722	36.278828	Genome30.0
67	50.503693	-0.9307753	Genome23.0
68	-50.696766	-8.255074	Genome43.0
69	-60.887566	-16.132174	Genome30.0
70	-51.047787	-33.59504	Genome28.0
71	-12.755069	4.8198333	Genome30.0
72	13.548026	-7.605712	Genome28.0
73	-47.355656	-5.926279	Genome30.0
74	-19.627857	-35.084145	Genome30.0
75	17.47791	-13.922303	Genome43.0
76	14.498093	-2.5677896	Genome43.0
77	-26.981548	19.125582	Genome23.0
78	63.92858	-4.6911864	Genome23.0
79	72.93687	25.404154	Genome43.0
80	-17.562933	-29.63554	Genome43.0
81	-67.84229	-2.3780863	Genome39.0
82	-55.94131	-16.166151	Genome28.0
83	72.36933	19.86872	Genome30.0
84	66.86973	23.34363	Genome23.0
85	-36.424084	-1.3438091	Genome28.0
86	34.619144	-33.992226	Genome30.0
87	66.75042	19.246037	Genome43.0
88	1.587168	-25.847866	Genome43.0
89	44.907116	9.908255	Genome43.0
90	-40.282322	-20.981546	Genome43.0
91	-40.920807	25.330166	Genome43.0
